Date,User Input,Mood,Sentiment Score
07-07-2026 19:39,very good,Happiness,0.91
07-07-2026 19:45,sad,Sadness,-0.5
07-07-2026 19:50,excited,Neutral,0.38
07-07-2026 20:01,excited,Happiness,0.38
07-07-2026 20:27,happyy,Happiness,0.0
07-07-2026 20:37,good,Happiness,0.7
07-07-2026 20:38,good,Happiness,0.7
24-07-2026 12:22,good,Happiness,0.7
24-07-2026 12:25,good,Happiness,0.7
24-07-2026 17:00,happy,Happiness,0.8
24-07-2026 17:01,sad,Sadness,-0.5
24-07-2026 17:06,good,Happiness,0.7
24-07-2026 17:06,i feel so stressed,Stress,0.0
26-07-2026 19:11,i feel very excited because i'm creating 2.0 version of app,Happiness,0.49
28-07-2026 17:24,good,Happiness,0.7
29-07-2026 11:40,"i really had a bad day cause i had an bad exam
",Stress,-0.4
29-07-2026 11:53,i feel stressed because of exams,Stress,0.0
29-07-2026 11:53,i feel excited for my new project,Happiness,0.26
29-07-2026 11:56,i feel stressed because of exams,Stress,0.0
29-07-2026 11:57,i feel happy,Happiness,0.8
30-07-2026 20:47,i feel good,Happiness,0.7
31-07-2026 09:58,i feel sad,Sadness,-0.5
18-08-2026 11:28,i feel good,Happiness,0.7
19-08-2026 17:49,bliss,Neutral,0.0
18-09-2026 23:33,"i am good
",Happiness,0.7
19-09-2026 10:30,I feel sad right now,Sadness,-0.11
19-09-2026 10:31,I feel sad right now,Sadness,-0.11
19-09-2026 11:46,i feel so sad right now,Sadness,-0.11
19-09-2026 12:11,hey ,Neutral,0.0
19-09-2026 12:20,i feel so sad because my dog died,Sadness,-0.5
19-09-2026 13:24,i feel so sad because i failed in my exam,Stress,-0.5
